Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
1/1/1996 8:05,Indonesia,0.714,119.905,24,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,8,9,10,9,,
2/3/1996 11:14,China (seeÿ1996 Lijiang earthquake),27.271,100.262,12.2,6.6ÿ{\displaystyle M_{\mathrm {w} }},,322,322,309,309,,
2/17/1996 5:59,Indonesia (seeÿ1996 Biak earthquake),-0.918,136.973,35.8,8.2ÿ{\displaystyle M_{\mathrm {w} }},T,108,166,166,166,,
2/21/1996 12:51,Peru (seeÿ1996 Chimbote earthquake),-9.722,-79.868,15,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,0,7,,,,
3/19/1996 15:00,China,40.043,76.621,18.9,6.3ÿ{\displaystyle M_{\mathrm {w} }},,24,24,24,26,,
3/28/1996 23:03,Ecuador,-1.031,-78.659,9,5.9ÿ{\displaystyle M_{\mathrm {w} }},L,27,27,,27,,
4/29/1996 14:40,Papua New Guinea,-6.518,155.116,38,7.2ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,,,
5/3/1996 3:32,China,40.777,109.713,24.5,6.0ÿ{\displaystyle M_{\mathrm {w} }},,18,18,26,18,,
8/14/1996 1:55,Turkey,40.697,35.293,25.8,5.7ÿ{\displaystyle M_{\mathrm {w} }},L,0,0,1,0,,
9/24/1996 19:24,China,27.212,100.332,8.2,5.5ÿ{\displaystyle M_{\mathrm {w} }},,,,1,0,,
10/9/1996 13:10,Cyprus,34.562,32.143,22,6.8ÿ{\displaystyle M_{\mathrm {w} }},,1,2,2,,,
11/12/1996 16:59,Peru,-14.959,-75.562,21,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,14,14,15,14,,
1/11/1997 20:28,Mexico,18.193,-102.795,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},,1,1,1,1,,
1/21/1997 1:48,China (seeÿ1997 Jiashi earthquakes),39.536,76.879,15,5.9ÿ{\displaystyle M_{\mathrm {w} }},,12,12,12,12,,
